airport_id,airport_name,city,country
A001,Gregoryland International Airport,Kristenmouth,South Georgia and the South Sandwich Islands
A002,East Kristin International Airport,North Michaelview,Bosnia and Herzegovina
A003,Brownland International Airport,Samuelville,Costa Rica
A004,Meghanton International Airport,Andrewsmouth,Macedonia
A005,East Aaron International Airport,Davishaven,Monaco
A006,Michaelburgh International Airport,East Blake,Iceland
A007,West Jennifer International Airport,Jillianstad,Libyan Arab Jamahiriya
A008,Port Craig International Airport,New Lisa,French Southern Territories
A009,New Joshuafurt International Airport,Port Jamiehaven,Pitcairn Islands
A010,Thompsontown International Airport,Murraychester,Ireland
A011,Alisonville International Airport,West Annaburgh,Mexico
A012,East Nancy International Airport,Crosston,Romania
A013,West Christianstad International Airport,North Janetton,Qatar
A014,Brittanyshire International Airport,Kylechester,Mauritius
A015,North Erinberg International Airport,Walshtown,South Georgia and the South Sandwich Islands
A016,Davidhaven International Airport,South Michael,Holy See (Vatican City State)
A017,West Melissaborough International Airport,North Robertburgh,Switzerland
A018,Lake Mandyport International Airport,Englishfort,Russian Federation
A019,East Gregtown International Airport,Downsborough,Kazakhstan
A020,Port Lori International Airport,Nicholaston,Martinique
A021,Phillipsburgh International Airport,West Ritaland,Colombia
A022,Blankenshipport International Airport,Sherryville,Bhutan
A023,Maryfurt International Airport,Lake Kennethfurt,Panama
A024,West Barbara International Airport,Sherribury,Tokelau
A025,East Tiffanymouth International Airport,North Ashley,Gambia
A026,New Isaiah International Airport,Lake Melissaland,Cote d'Ivoire
A027,West Patricia International Airport,Wilsonmouth,Djibouti
A028,Hamiltonview International Airport,Isaacland,Lebanon
A029,New Amber International Airport,Davismouth,Congo
A030,Leeport International Airport,Lake Gary,Armenia
A031,East Paulahaven International Airport,New Charlesberg,Thailand
A032,East Robinmouth International Airport,Sharonstad,Poland
A033,Perezbury International Airport,West Maryville,Korea
A034,West Matthew International Airport,Wigginsmouth,Czech Republic
A035,Chavezchester International Airport,Port Meganhaven,Niger
A036,Teresaberg International Airport,Taylorshire,Cayman Islands
A037,Francobury International Airport,Foleyland,Denmark
A038,South Caroline International Airport,Sarahchester,New Zealand
A039,Reneeborough International Airport,East Amanda,Germany
A040,Jillville International Airport,Wallerchester,Libyan Arab Jamahiriya
A041,Lake Amber International Airport,Brownstad,Algeria
A042,West Matthew International Airport,Reedshire,Lithuania
A043,Kaylaland International Airport,Schultzhaven,Sweden
A044,Cordovaview International Airport,Shannonport,Gabon
A045,Stoneport International Airport,New Joseph,Georgia
A046,Janetview International Airport,West Steventon,Bahamas
A047,New Michaelland International Airport,Sanchezberg,Hong Kong
A048,Sarahmouth International Airport,Edwardmouth,Malaysia
A049,North Heather International Airport,West Andrewview,Netherlands Antilles
A050,Paultown International Airport,North Richardmouth,France
