booking_id,passenger_id,flight_id,airport_id,amount,booking_date
B00001,P0048,F0014,A048,850.72,2025-05-29
B00002,P0011,F0052,A003,376.63,2025-06-09
B00003,P0079,F0023,A012,534.02,2025-06-03
B00004,P0068,F0001,A039,1333.7,2025-06-16
B00005,P0189,F0019,A008,1334.96,2025-06-17
B00006,P0070,F0003,A004,296.13,2025-05-18
B00007,P0194,F0068,A016,460.14,2025-04-05
B00008,P0181,F0048,A017,1402.02,2025-06-04
B00009,P0096,F0081,A016,1444.51,2025-05-16
B00010,P0131,F0089,A034,292.39,2025-05-16
B00011,P0174,F0015,A047,1039.5,2025-04-09
B00012,P0154,F0050,A001,205.4,2025-03-27
B00013,P0199,F0061,A034,1034.42,2025-03-29
B00014,P0122,F0021,A047,788.63,2025-05-03
B00015,P0104,F0036,A043,1114.27,2025-04-13
B00016,P0006,F0040,A004,1138.92,2025-06-08
B00017,P0122,F0063,A013,753.06,2025-05-12
B00018,P0180,F0026,A010,1380.74,2025-05-29
B00019,P0117,F0006,A025,302.11,2025-05-23
B00020,P0117,F0039,A044,543.47,2025-04-25
B00021,P0167,F0057,A023,508.64,2025-06-04
B00022,P0067,F0033,A004,998.46,2025-05-24
B00023,P0030,F0094,A005,694.81,2025-06-01
B00024,P0120,F0038,A015,578.1,2025-03-30
B00025,P0001,F0056,A045,1146.1,2025-05-28
B00026,P0169,F0062,A036,1236.07,2025-05-01
B00027,P0136,F0064,A043,375.69,2025-06-02
B00028,P0068,F0006,A017,940.95,2025-04-08
B00029,P0150,F0048,A048,1116.88,2025-05-16
B00030,P0023,F0050,A050,1400.35,2025-04-10
B00031,P0037,F0046,A003,1221.82,2025-03-27
B00032,P0129,F0025,A001,782.38,2025-06-17
B00033,P0055,F0031,A041,254.2,2025-05-08
B00034,P0015,F0046,A045,273.6,2025-04-16
B00035,P0111,F0086,A015,348.86,2025-05-07
B00036,P0005,F0005,A029,949.54,2025-03-28
B00037,P0187,F0043,A008,448.11,2025-04-07
B00038,P0169,F0041,A023,949.22,2025-03-31
B00039,P0040,F0028,A044,1484.65,2025-04-13
B00040,P0095,F0037,A033,1211.11,2025-04-13
B00041,P0191,F0072,A048,1102.87,2025-04-13
B00042,P0017,F0021,A024,673.96,2025-05-13
B00043,P0047,F0021,A029,817.3,2025-06-08
B00044,P0181,F0081,A002,772.98,2025-05-07
B00045,P0025,F0073,A019,281.08,2025-04-13
B00046,P0142,F0093,A012,1020.64,2025-06-01
B00047,P0104,F0090,A009,1364.75,2025-05-19
B00048,P0155,F0008,A047,636.16,2025-05-08
B00049,P0178,F0039,A035,259.15,2025-04-12
B00050,P0019,F0010,A047,1086.8,2025-03-24
B00051,P0173,F0051,A036,293.22,2025-04-12
B00052,P0082,F0051,A033,1266.41,2025-04-27
B00053,P0108,F0092,A021,1030.15,2025-03-28
B00054,P0150,F0010,A030,405.2,2025-04-28
B00055,P0099,F0007,A044,1082.53,2025-03-29
B00056,P0041,F0055,A015,586.75,2025-04-08
B00057,P0031,F0069,A012,687.19,2025-05-12
B00058,P0119,F0089,A025,984.3,2025-05-30
B00059,P0143,F0072,A002,1394.39,2025-03-29
B00060,P0102,F0053,A014,205.11,2025-04-11
B00061,P0055,F0045,A004,108.53,2025-06-09
B00062,P0022,F0080,A011,256.27,2025-04-12
B00063,P0139,F0088,A041,134.11,2025-05-13
B00064,P0022,F0037,A027,647.13,2025-05-30
B00065,P0034,F0046,A009,722.96,2025-05-20
B00066,P0106,F0066,A017,377.26,2025-03-24
B00067,P0049,F0097,A010,1153.26,2025-05-19
B00068,P0019,F0067,A003,778.42,2025-04-30
B00069,P0061,F0091,A007,1216.18,2025-04-26
B00070,P0013,F0057,A004,484.43,2025-06-14
B00071,P0082,F0050,A027,177.66,2025-05-10
B00072,P0034,F0100,A001,1306.75,2025-05-25
B00073,P0151,F0085,A015,794.94,2025-04-10
B00074,P0067,F0037,A024,1485.6,2025-05-11
B00075,P0003,F0059,A023,529.54,2025-04-14
B00076,P0117,F0088,A019,654.98,2025-06-04
B00077,P0133,F0034,A037,736.43,2025-04-21
B00078,P0125,F0053,A008,1103.33,2025-04-11
B00079,P0138,F0011,A007,891.13,2025-04-01
