booking_id,passenger_id,flight_id,airport_id,amount,booking_date
B01001,P0207,F0047,A004,912.64,2025-07-10
B01002,P0124,F0088,A051,597.04,2025-07-01
B01003,P0103,F0096,A036,724.88,2025-07-10
B01004,P0049,F0069,A001,1370.99,2025-07-12
B01005,P0210,F0084,A053,1476.15,2025-07-01
B01006,P0126,F0084,A042,800.39,2025-06-26
B01007,P0077,F0013,A055,1187.22,2025-06-28
B01008,P0118,F0005,A033,913.43,2025-07-18
B01009,P0090,F0102,A034,260.75,2025-07-08
B01010,P0012,F0080,A045,245.61,2025-07-21
B01011,P0066,F0008,A041,319.73,2025-07-07
B01012,P0158,F0037,A044,1158.64,2025-07-03
B01013,P0099,F0107,A008,506.23,2025-07-17
B01014,P0190,F0068,A027,1397.56,2025-07-12
B01015,P0046,F0044,A043,462.89,2025-06-23
B01016,P0098,F0016,A026,1491.59,2025-06-28
B01017,P0193,F0097,A030,1092.89,2025-07-05
B01018,P0142,F0040,A016,998.11,2025-06-25
B01019,P0126,F0003,A015,898.26,2025-06-29
B01020,P0135,F0014,A023,354.87,2025-07-20
B01021,P0171,F0105,A026,154.73,2025-06-23
B01022,P0078,F0065,A024,980.87,2025-07-10
B01023,P0046,F0044,A001,600.38,2025-06-25
B01024,P0159,F0030,A024,665.15,2025-06-29
B01025,P0043,F0089,A024,557.92,2025-07-07
B01026,P0031,F0030,A016,565.57,2025-07-05
B01027,P0080,F0032,A044,742.34,2025-07-04
B01028,P0138,F0028,A024,699.87,2025-06-24
B01029,P0091,F0051,A012,1383.67,2025-06-22
B01030,P0029,F0035,A029,864.35,2025-07-10
B01031,P0023,F0090,A006,1004.81,2025-07-11
B01032,P0108,F0070,A053,1443.89,2025-07-10
B01033,P0018,F0056,A047,278.89,2025-07-11
B01034,P0084,F0110,A010,1077.57,2025-06-22
B01035,P0048,F0100,A015,245.65,2025-06-29
B01036,P0062,F0077,A021,914.7,2025-07-04
B01037,P0040,F0038,A029,517.58,2025-06-22
B01038,P0159,F0074,A039,646.71,2025-06-28
B01039,P0110,F0032,A014,1040.3,2025-06-24
B01040,P0089,F0100,A027,1484.13,2025-07-20
B01041,P0076,F0004,A047,124.83,2025-07-05
B01042,P0016,F0087,A043,751.55,2025-07-20
B01043,P0175,F0028,A030,826.8,2025-07-06
B01044,P0064,F0035,A025,893.4,2025-07-13
B01045,P0127,F0054,A046,978.71,2025-07-08
B01046,P0213,F0057,A036,469.33,2025-07-21
B01047,P0025,F0029,A026,807.07,2025-07-01
B01048,P0164,F0109,A032,1054.39,2025-07-13
B01049,P0213,F0037,A023,881.23,2025-07-13
B01050,P0098,F0052,A007,465.76,2025-07-07
B01051,P0068,F0016,A016,1467.07,2025-07-02
B01052,P0080,F0098,A034,878.65,2025-07-09
B01053,P0215,F0073,A030,1331.64,2025-07-21
B01054,P0181,F0076,A041,1290.01,2025-07-02
B01055,P0146,F0055,A052,573.54,2025-06-28
B01056,P0182,F0008,A051,1443.33,2025-07-04
B01057,P0142,F0010,A043,1275.8,2025-06-25
B01058,P0162,F0100,A037,920.6,2025-07-09
B01059,P0107,F0034,A027,205.48,2025-07-09
B01060,P0018,F0050,A007,1275.05,2025-06-30
B01061,P0124,F0108,A055,1126.46,2025-07-02
B01062,P0010,F0079,A036,1457.79,2025-06-29
B01063,P0073,F0009,A028,230.06,2025-06-30
B01064,P0171,F0058,A011,208.03,2025-06-26
B01065,P0166,F0031,A034,106.75,2025-07-19
B01066,P0085,F0043,A035,917.54,2025-07-01
B01067,P0067,F0076,A024,696.51,2025-07-12
B01068,P0093,F0065,A049,536.9,2025-07-16
B01069,P0118,F0051,A021,620.97,2025-07-10
B01070,P0016,F0080,A054,1228.01,2025-06-23
B01071,P0108,F0096,A015,229.94,2025-06-27
B01072,P0157,F0039,A024,826.42,2025-07-08
B01073,P0071,F0051,A044,532.86,2025-06-29
B01074,P0210,F0109,A055,760.01,2025-07-06
B01075,P0151,F0015,A013,361.17,2025-07-18
B01076,P0125,F0073,A015,1189.45,2025-07-17
B01077,P0178,F0013,A030,956.62,2025-06-28
B01078,P0158,F0045,A011,900.66,2025-07-05
B01079,P0079,F0046,A009,670.15,2025-06-25
B01080,P0207,F0021,A021,1131.41,2025-07-08
B01081,P0012,F0053,A025,1220.91,2025-06-26
B01082,P0142,F0025,A051,222.17,2025-07-15
B01083,P0194,F0107,A037,730.32,2025-07-02
B01084,P0189,F0039,A031,238.87,2025-07-17
B01085,P0043,F0063,A040,1400.62,2025-07-13
B01086,P0007,F0095,A030,1359.91,2025-07-10
B01087,P0071,F0103,A019,121.15,2025-07-09
B01088,P0189,F0075,A026,392.91,2025-07-13
B01089,P0089,F0049,A015,519.2,2025-06-24
B01090,P0107,F0014,A041,1346.32,2025-06-23
B01091,P0106,F0017,A042,1035.02,2025-07-16
B01092,P0117,F0041,A021,1276.49,2025-06-22
B01093,P0104,F0003,A045,226.75,2025-07-06
B01094,P0040,F0027,A054,1497.91,2025-07-11
B01095,P0048,F0041,A029,249.02,2025-07-14
B01096,P0030,F0044,A022,1465.69,2025-07-12
B01097,P0063,F0010,A009,293.92,2025-07-18
B01098,P0212,F0040,A049,936.89,2025-07-08
B01099,P0029,F0093,A033,1444.53,2025-07-11
B01100,P0088,F0074,A051,1446.66,2025-07-01
B01101,P0046,F0001,A039,1222.87,2025-06-24
B01102,P0035,F0053,A027,411.87,2025-07-16
B01103,P0218,F0089,A023,722.6,2025-07-07
B01104,P0150,F0044,A051,1471.71,2025-07-20
B01105,P0180,F0017,A053,1132.14,2025-07-13
B01106,P0041,F0008,A028,1393.96,2025-06-25
B01107,P0163,F0006,A019,1428.37,2025-06-28
B01108,P0178,F0110,A029,1114.11,2025-07-21
B01109,P0008,F0059,A036,449.25,2025-07-08
B01110,P0175,F0069,A043,1422.48,2025-06-24
B01111,P0071,F0108,A054,1495.37,2025-07-17
B01112,P0219,F0106,A007,1014.92,2025-07-10
B01113,P0057,F0066,A019,1394.96,2025-07-06
B01114,P0218,F0070,A025,762.53,2025-06-26
B01115,P0183,F0017,A041,157.89,2025-07-20
B01116,P0074,F0005,A036,1379.18,2025-06-25
B01117,P0076,F0035,A034,825.6,2025-06-23
B01118,P0149,F0052,A026,1244.42,2025-07-11
B01119,P0105,F0080,A017,490.22,2025-07-19
B01120,P0168,F0071,A052,175.84,2025-07-01
